case,baseline,evaluation_epoch_count,candidate_rmse_m,baseline_rmse_m,candidate_minus_baseline_rmse_m,ci95_low_m,ci95_high_m,strict_improvement_ci_below_zero,one_sided_bootstrap_p,holm_family,holm_rank,holm_threshold,holm_significant_0p05
natural__hk,global_ci__cauchy,515,12.00655529980053,17.69397683114943,-5.687421531348901,-8.276367851442702,-3.2794623563931444,True,9.999000099990002e-05,natural__global_ci__cauchy,1,0.0125,True
natural__hk,provenance_ci__cauchy,515,12.00655529980053,14.218566236285028,-2.212010936484498,-3.7025992440168976,-0.8491692621558187,True,0.00019998000199980003,natural__provenance_ci__cauchy,3,0.025,True
natural__deep,global_ci__cauchy,1474,9.95532733927351,15.09153399097945,-5.13620665170594,-8.01014174131582,-2.609945786669698,True,9.999000099990002e-05,natural__global_ci__cauchy,2,0.016666666666666666,True
natural__deep,provenance_ci__cauchy,1474,9.95532733927351,11.551045027776604,-1.595717688503095,-4.1663670873792205,0.6745300143552454,False,0.08399160083991601,natural__provenance_ci__cauchy,4,0.05,False
natural__harsh,global_ci__cauchy,2123,10.535220268385867,26.751271247732113,-16.216050979346246,-18.797052506145754,-13.898283534211311,True,9.999000099990002e-05,natural__global_ci__cauchy,3,0.025,True
natural__harsh,provenance_ci__cauchy,2123,10.535220268385867,17.395818459184106,-6.860598190798239,-8.52938417631223,-5.32757633392927,True,9.999000099990002e-05,natural__provenance_ci__cauchy,1,0.0125,True
natural__phone,global_ci__cauchy,1858,31.209461896620997,38.00136081309524,-6.791898916474242,-8.690203108720075,-4.9184680592096095,True,9.999000099990002e-05,natural__global_ci__cauchy,4,0.05,True
natural__phone,provenance_ci__cauchy,1858,31.209461896620997,38.34649903240561,-7.137037135784613,-9.129425586960812,-5.2956150469894645,True,9.999000099990002e-05,natural__provenance_ci__cauchy,2,0.016666666666666666,True
fault__distributed_novatel_step_f9p_ramp,global_ci__cauchy,515,24.641919041980717,32.11636000861934,-7.474440966638621,-10.88259030975355,-3.332997304353434,True,0.0007999200079992001,fault__global_ci__cauchy,6,0.025,True
fault__distributed_novatel_step_f9p_ramp,provenance_ci__cauchy,515,24.641919041980717,19.92238083018292,4.719538211797797,0.12115594457836348,8.665072390317412,False,0.977002299770023,fault__provenance_ci__cauchy,7,0.05,False
fault__novatel_ramp,global_ci__cauchy,515,12.516070100173657,17.693976831147594,-5.1779067309739375,-7.646695101486097,-3.0963421290573367,True,9.999000099990002e-05,fault__global_ci__cauchy,1,0.0071428571428571435,True
fault__novatel_ramp,provenance_ci__cauchy,515,12.516070100173657,15.941456277708971,-3.425386177535314,-5.290961962660736,-1.8175103183775612,True,9.999000099990002e-05,fault__provenance_ci__cauchy,1,0.0071428571428571435,True
fault__novatel_step,global_ci__cauchy,515,16.888124413970115,17.693976831141352,-0.8058524171712378,-1.9095299395997565,-0.20915992700548797,True,0.0031996800319968005,fault__global_ci__cauchy,7,0.05,True
fault__novatel_step,provenance_ci__cauchy,515,16.888124413970115,17.429322689099525,-0.5411982751294104,-1.6901161953445956,0.2230753831746015,False,0.08339166083391661,fault__provenance_ci__cauchy,5,0.016666666666666666,False
fault__ublox_f9p_ramp,global_ci__cauchy,515,11.974176842830804,32.11636000861687,-20.14218316578607,-25.4846231140729,-13.471678313851799,True,9.999000099990002e-05,fault__global_ci__cauchy,2,0.008333333333333333,True
fault__ublox_f9p_ramp,provenance_ci__cauchy,515,11.974176842830804,13.416052359187823,-1.441875516357019,-3.616516920826781,0.18577713339783872,False,0.0397960203979602,fault__provenance_ci__cauchy,4,0.0125,False
fault__ublox_f9p_step,global_ci__cauchy,515,10.95436838548074,22.04547541164219,-11.09110702616145,-12.970729006014237,-9.009686829487993,True,9.999000099990002e-05,fault__global_ci__cauchy,3,0.01,True
fault__ublox_f9p_step,provenance_ci__cauchy,515,10.95436838548074,9.653084868480502,1.301283517000238,-0.8401001575448183,3.0480150239903603,False,0.8875112488751125,fault__provenance_ci__cauchy,6,0.025,False
fault__ublox_m8t_ramp,global_ci__cauchy,515,12.00655529980053,17.698728586816458,-5.692173287015928,-8.387757640899222,-3.3435259431480757,True,9.999000099990002e-05,fault__global_ci__cauchy,4,0.0125,True
fault__ublox_m8t_ramp,provenance_ci__cauchy,515,12.00655529980053,14.635963708404251,-2.6294084086037213,-4.147431485662101,-1.287665224736835,True,9.999000099990002e-05,fault__provenance_ci__cauchy,2,0.008333333333333333,True
fault__ublox_m8t_step,global_ci__cauchy,515,12.00655529980053,15.840098098522127,-3.833542798721597,-5.839276717505446,-2.0179280784491422,True,9.999000099990002e-05,fault__global_ci__cauchy,5,0.016666666666666666,True
fault__ublox_m8t_step,provenance_ci__cauchy,515,12.00655529980053,13.611077739535162,-1.604522439734632,-2.8989964394678815,-0.39618369646170065,True,0.0023997600239976003,fault__provenance_ci__cauchy,3,0.01,True
