case,baseline,candidate_rmse_m,baseline_rmse_m,candidate_minus_baseline_rmse_m,ci95_low_m,ci95_high_m,strict_improvement_ci_below_zero,one_sided_bootstrap_p,holm_rank,holm_threshold,holm_significant_0p05
ramp_x10_onset50,grouped_physical_receivers__cauchy,11.828701548926137,15.145676300899552,-3.316974751973415,-5.487424908763685,-1.3472596349662318,True,9.999000099990002e-05,1,0.004166666666666667,True
ramp_x25_onset50,grouped_physical_receivers__cauchy,11.901892241322148,16.06135078306923,-4.159458541747082,-6.15884258735795,-2.419142567622513,True,9.999000099990002e-05,2,0.004545454545454546,True
ramp_x50_onset25,grouped_physical_receivers__cauchy,14.590833177123162,20.55477191839494,-5.963938741271779,-9.281477182125656,-2.9512929936861743,True,0.00029997000299970003,10,0.016666666666666666,True
ramp_x50_onset50,grouped_physical_receivers__cauchy,12.516070100173657,17.576427490391684,-5.0603573902180266,-7.51640228697363,-2.8312438943250378,True,9.999000099990002e-05,3,0.005,True
ramp_x50_onset75,grouped_physical_receivers__cauchy,11.581649073246346,16.277870042168228,-4.696220968921882,-6.703842378140713,-2.837765926570201,True,9.999000099990002e-05,4,0.005555555555555556,True
ramp_x5_onset50,grouped_physical_receivers__cauchy,11.925116905903293,15.099323168180211,-3.1742062622769183,-5.1320842647500795,-1.3650876566202095,True,9.999000099990002e-05,5,0.00625,True
step_x10_onset50,grouped_physical_receivers__cauchy,12.986667627331611,17.04253540301262,-4.05586777568101,-6.822159352693194,-1.6398787135565216,True,0.00039996000399960006,11,0.025,True
step_x20_onset25,grouped_physical_receivers__cauchy,17.11215891878803,20.157801591427432,-3.045642672639403,-5.012143997056606,-1.3875253443075632,True,0.00039996000399960006,12,0.05,True
step_x20_onset50,grouped_physical_receivers__cauchy,16.888124413970115,20.15420037187639,-3.266075957906274,-5.1799194396706625,-1.710637301900481,True,9.999000099990002e-05,6,0.0071428571428571435,True
step_x20_onset75,grouped_physical_receivers__cauchy,11.581649073246346,15.537193764010294,-3.955544690763947,-5.754001197646574,-2.337128219718801,True,9.999000099990002e-05,7,0.008333333333333333,True
step_x2_onset50,grouped_physical_receivers__cauchy,11.723772621023544,15.34223443510913,-3.6184618140855864,-5.71502865600473,-1.7876090441860428,True,9.999000099990002e-05,8,0.01,True
step_x5_onset50,grouped_physical_receivers__cauchy,11.642569074174409,15.557838844043154,-3.915269769868745,-6.21063372565997,-1.968910086460413,True,9.999000099990002e-05,9,0.0125,True
