case,baseline,evaluation_epoch_count,candidate_rmse_m,baseline_rmse_m,candidate_minus_baseline_rmse_m,ci95_low_m,ci95_high_m,strict_improvement_ci_below_zero,one_sided_bootstrap_p,holm_family,holm_rank,holm_threshold,holm_significant_0p05
natural__hk,motion_single,515,12.00655529980053,10.625803504701658,1.3807517950988721,-0.8577097753111751,3.1902527277288333,False,0.8908109189081092,natural__motion_single,4,0.05,False
natural__deep,motion_single,1474,9.95532733927351,9.941932983482525,0.013394355790984136,-0.4089150028213911,0.4612978116628255,False,0.5208479152084792,natural__motion_single,3,0.025,False
natural__harsh,motion_single,2123,10.535220268385867,12.503155981766325,-1.9679357133804576,-2.9431294908971704,-1.1126055338449694,True,9.999000099990002e-05,natural__motion_single,1,0.0125,True
natural__phone,motion_single,1858,31.209461896620997,32.63192703385389,-1.4224651372328943,-3.0879094868947985,0.3062226083061406,False,0.051594840515948405,natural__motion_single,2,0.016666666666666666,False
fault__novatel_step,motion_single,515,16.888124413970115,14.160112569048628,2.728011844921486,-3.279543110261611,7.791109498911269,False,0.8086191380861913,fault__motion_single,5,0.016666666666666666,False
fault__novatel_ramp,motion_single,515,12.516070100173657,13.42405182973365,-0.9079817295599923,-4.8742858599751395,1.953899142790862,False,0.25917408259174085,fault__motion_single,4,0.0125,False
fault__ublox_f9p_step,motion_single,515,10.95436838548074,16.6775941634793,-5.723225777998559,-7.5932586767621295,-3.3184526126603258,True,9.999000099990002e-05,fault__motion_single,1,0.0071428571428571435,True
fault__ublox_f9p_ramp,motion_single,515,11.974176842830804,28.21382191731512,-16.239645074484315,-21.844872918798888,-9.176924371869665,True,9.999000099990002e-05,fault__motion_single,2,0.008333333333333333,True
fault__ublox_m8t_step,motion_single,515,12.00655529980053,10.625803504701658,1.3807517950988721,-0.9919044552071237,3.174465219859907,False,0.8906109389061094,fault__motion_single,7,0.05,False
fault__ublox_m8t_ramp,motion_single,515,12.00655529980053,10.625803504701658,1.3807517950988721,-0.8752169375368032,3.177127926709701,False,0.8897110288971103,fault__motion_single,6,0.025,False
fault__distributed_novatel_step_f9p_ramp,motion_single,515,24.641919041980717,29.326675204076256,-4.684756162095539,-8.490936388542867,-0.1962868940910983,True,0.0201979802019798,fault__motion_single,3,0.01,False
natural__hk,separation_pair,515,12.00655529980053,11.997613794370375,0.008941505430154706,-0.06077468739328049,0.054611304834209035,False,0.5966403359664033,natural__separation_pair,4,0.05,False
natural__deep,separation_pair,1474,9.95532733927351,13.30986340600594,-3.3545360667324307,-4.7129732529008255,-2.2663237220253367,True,9.999000099990002e-05,natural__separation_pair,1,0.0125,True
natural__harsh,separation_pair,2123,10.535220268385867,12.226246522585031,-1.6910262541991639,-2.751496671961374,-0.7335960458809276,True,0.00029997000299970003,natural__separation_pair,2,0.016666666666666666,True
natural__phone,separation_pair,1858,31.209461896620997,33.119977286009956,-1.9105153893889586,-3.6674054108241854,-0.20197067628124382,True,0.013098690130986902,natural__separation_pair,3,0.025,True
fault__novatel_step,separation_pair,515,16.888124413970115,17.33579534597689,-0.4476709320067762,-1.303881037431255,0.06102370426729961,False,0.04409559044095591,fault__separation_pair,3,0.01,False
fault__novatel_ramp,separation_pair,515,12.516070100173657,17.89204576157179,-5.375975661398133,-7.916273536156612,-3.1897604901314778,True,9.999000099990002e-05,fault__separation_pair,1,0.0071428571428571435,True
fault__ublox_f9p_step,separation_pair,515,10.95436838548074,12.881486633208738,-1.9271182477279982,-3.7188626839614867,0.3283620289990282,False,0.045295470452954706,fault__separation_pair,4,0.0125,False
fault__ublox_f9p_ramp,separation_pair,515,11.974176842830804,11.941811067831184,0.032365774999620456,-0.014011891886298521,0.06644871304210079,False,0.9247075292470753,fault__separation_pair,7,0.05,False
fault__ublox_m8t_step,separation_pair,515,12.00655529980053,11.997613794370375,0.008941505430154706,-0.06060140467453965,0.05512988283597626,False,0.6013398660133986,fault__separation_pair,6,0.025,False
fault__ublox_m8t_ramp,separation_pair,515,12.00655529980053,11.997613794370375,0.008941505430154706,-0.06116503690208615,0.05500602781465174,False,0.5886411358864113,fault__separation_pair,5,0.016666666666666666,False
fault__distributed_novatel_step_f9p_ramp,separation_pair,515,24.641919041980717,32.097609331549,-7.455690289568285,-14.698201209771563,-0.793567331592049,True,0.014298570142985701,fault__separation_pair,2,0.008333333333333333,False
natural__hk,selected_pair_independent_factors,515,12.00655529980053,12.540945744546079,-0.534390444745549,-1.350257476809932,0.19801442944102238,False,0.07429257074292571,natural__selected_pair_independent_factors,2,0.016666666666666666,False
natural__deep,selected_pair_independent_factors,1474,9.95532733927351,8.273055689181335,1.682271650092174,0.14248314584720526,3.0241055289634593,False,0.9844015598440156,natural__selected_pair_independent_factors,4,0.05,False
natural__harsh,selected_pair_independent_factors,2123,10.535220268385867,16.64382622850371,-6.108605960117842,-7.278285223863321,-5.00658344418254,True,9.999000099990002e-05,natural__selected_pair_independent_factors,1,0.0125,True
natural__phone,selected_pair_independent_factors,1858,31.209461896620997,31.90701489381299,-0.6975529971919912,-1.7879203867036297,0.3731346049617255,False,0.10478952104789521,natural__selected_pair_independent_factors,3,0.025,False
fault__novatel_step,selected_pair_independent_factors,515,16.888124413970115,18.288375651476294,-1.400251237506179,-2.4957687971875773,-0.6579934937131944,True,9.999000099990002e-05,fault__selected_pair_independent_factors,1,0.0071428571428571435,True
fault__novatel_ramp,selected_pair_independent_factors,515,12.516070100173657,14.277123777754271,-1.7610536775806143,-2.8097453208742924,-0.8951660566162004,True,0.00019998000199980003,fault__selected_pair_independent_factors,2,0.008333333333333333,True
fault__ublox_f9p_step,selected_pair_independent_factors,515,10.95436838548074,11.669871104405518,-0.7155027189247782,-4.705486128684327,2.9972149151458005,False,0.34806519348065196,fault__selected_pair_independent_factors,7,0.05,False
fault__ublox_f9p_ramp,selected_pair_independent_factors,515,11.974176842830804,13.384863300610219,-1.4106864577794145,-2.6804451100281756,-0.48735373936114634,True,0.0016998300169983002,fault__selected_pair_independent_factors,3,0.01,True
fault__ublox_m8t_step,selected_pair_independent_factors,515,12.00655529980053,12.540945744546079,-0.534390444745549,-1.3734591367856954,0.19736812260292083,False,0.07439256074392561,fault__selected_pair_independent_factors,4,0.0125,False
fault__ublox_m8t_ramp,selected_pair_independent_factors,515,12.00655529980053,12.540945744546079,-0.534390444745549,-1.340592899666391,0.22532686108360575,False,0.07889211078892111,fault__selected_pair_independent_factors,5,0.016666666666666666,False
fault__distributed_novatel_step_f9p_ramp,selected_pair_independent_factors,515,24.641919041980717,24.962314756631923,-0.3203957146512053,-3.7458866259013055,2.3264460027767515,False,0.34366563343665635,fault__selected_pair_independent_factors,6,0.025,False
