case,baseline,evaluation_epoch_count,candidate_rmse_m,baseline_rmse_m,candidate_minus_baseline_rmse_m,ci95_low_m,ci95_high_m,strict_improvement_ci_below_zero,one_sided_bootstrap_p,holm_family,holm_rank,holm_threshold,holm_significant_0p05
natural__hk,grouped_physical_receivers__direct,515,12.00655529980053,11.637659981913837,0.36889531788669316,-0.9481113527723923,1.2447277677837358,False,0.7530246975302469,natural__grouped_physical_receivers__direct,4,0.05,False
natural__hk,grouped_physical_receivers__cauchy,515,12.00655529980053,15.46230323737248,-3.4557479375719495,-5.47526966230133,-1.6624968676204368,True,9.999000099990002e-05,natural__grouped_physical_receivers__cauchy,1,0.0125,True
natural__hk,grouped_physical_receivers__switch_irls,515,12.00655529980053,10.936424073578662,1.0701312262218678,-0.43183779018533797,2.231494760359428,False,0.924007599240076,natural__grouped_physical_receivers__switch_irls,3,0.025,False
natural__hk,grouped_physical_receivers__dcs_irls,515,12.00655529980053,16.35374569962551,-4.34719039982498,-6.633364714401821,-2.1978489821954956,True,9.999000099990002e-05,natural__grouped_physical_receivers__dcs_irls,1,0.0125,True
natural__hk,hierarchical_consensus__cauchy,515,12.00655529980053,12.304365775486348,-0.297810475685818,-1.1048608746997344,0.523153547383038,False,0.25147485251474855,natural__hierarchical_consensus__cauchy,3,0.025,False
natural__hk,fixed_pair_consensus__novatel__ublox_f9p__cauchy,515,12.00655529980053,12.00655529980053,0.0,0.0,0.0,False,1.0,natural__fixed_pair_consensus__novatel__ublox_f9p__cauchy,3,0.05,False
natural__hk,fixed_pair_consensus__novatel__ublox_m8t__cauchy,515,12.00655529980053,12.671695018716578,-0.6651397189160484,-1.681899355735455,0.7694923165069386,False,0.1576842315768423,natural__fixed_pair_consensus__novatel__ublox_m8t__cauchy,2,0.025,False
natural__hk,fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,515,12.00655529980053,16.142397277108206,-4.135841977307676,-6.15503697793598,-2.25861174531117,True,9.999000099990002e-05,natural__fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,1,0.016666666666666666,True
natural__deep,grouped_physical_receivers__direct,1474,9.95532733927351,13.964775086873535,-4.009447747600026,-7.467746183826457,-1.0326582903371624,True,0.0036996300369963003,natural__grouped_physical_receivers__direct,3,0.025,True
natural__deep,grouped_physical_receivers__cauchy,1474,9.95532733927351,11.161616032718104,-1.2062886934445949,-3.6068299191214144,0.8691347121363173,False,0.1274872512748725,natural__grouped_physical_receivers__cauchy,4,0.05,False
natural__deep,grouped_physical_receivers__switch_irls,1474,9.95532733927351,9.788259636531917,0.16706770274159233,-1.6098432335179385,1.7974609822040695,False,0.5421457854214579,natural__grouped_physical_receivers__switch_irls,2,0.016666666666666666,False
natural__deep,grouped_physical_receivers__dcs_irls,1474,9.95532733927351,10.418334327971259,-0.4630069886977495,-2.715063446134231,1.483864321834663,False,0.31056894310568944,natural__grouped_physical_receivers__dcs_irls,4,0.05,False
natural__deep,hierarchical_consensus__cauchy,1474,9.95532733927351,10.193970546887837,-0.23864320761432722,-1.7632261203174309,0.90772520190276,False,0.34836516348365165,natural__hierarchical_consensus__cauchy,4,0.05,False
natural__deep,fixed_pair_consensus__novatel__ublox_f9p__cauchy,1474,9.95532733927351,10.779810175691548,-0.8244828364180385,-1.4164508130192817,-0.40228905746021265,True,0.00029997000299970003,natural__fixed_pair_consensus__novatel__ublox_f9p__cauchy,1,0.016666666666666666,True
natural__deep,fixed_pair_consensus__novatel__ublox_m8t__cauchy,1474,9.95532733927351,12.294985651015905,-2.3396583117423955,-3.033276227012529,-1.6105377184895455,True,9.999000099990002e-05,natural__fixed_pair_consensus__novatel__ublox_m8t__cauchy,1,0.016666666666666666,True
natural__deep,fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,1474,9.95532733927351,14.0155122969302,-4.060184957656691,-5.748348807617228,-2.782845791865121,True,9.999000099990002e-05,natural__fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,2,0.025,True
natural__harsh,grouped_physical_receivers__direct,2123,10.535220268385867,26.230372658190902,-15.695152389805035,-18.350560896239912,-13.246093777089097,True,9.999000099990002e-05,natural__grouped_physical_receivers__direct,1,0.0125,True
natural__harsh,grouped_physical_receivers__cauchy,2123,10.535220268385867,17.72081432454224,-7.185594056156372,-8.668788094601652,-5.779118705738524,True,9.999000099990002e-05,natural__grouped_physical_receivers__cauchy,2,0.016666666666666666,True
natural__harsh,grouped_physical_receivers__switch_irls,2123,10.535220268385867,13.692123933883378,-3.156903665497511,-4.395868154683568,-2.043292378308104,True,9.999000099990002e-05,natural__grouped_physical_receivers__switch_irls,1,0.0125,True
natural__harsh,grouped_physical_receivers__dcs_irls,2123,10.535220268385867,15.390296244763926,-4.855075976378059,-6.086414457563697,-3.590761810078419,True,9.999000099990002e-05,natural__grouped_physical_receivers__dcs_irls,2,0.016666666666666666,True
natural__harsh,hierarchical_consensus__cauchy,2123,10.535220268385867,13.438107679136891,-2.902887410751024,-4.607243319154543,-1.541781818363684,True,9.999000099990002e-05,natural__hierarchical_consensus__cauchy,1,0.0125,True
natural__harsh,fixed_pair_consensus__novatel__ublox_f9p__cauchy,2123,10.535220268385867,11.848568718322278,-1.3133484499364112,-2.1928393456789426,-0.5358173804739537,True,0.0005999400059994001,natural__fixed_pair_consensus__novatel__ublox_f9p__cauchy,2,0.025,True
natural__harsh,fixed_pair_consensus__novatel__ublox_m8t__cauchy,2123,10.535220268385867,10.497604432095267,0.03761583629060006,-1.5307792507855138,1.283350841470306,False,0.36306369363063695,natural__fixed_pair_consensus__novatel__ublox_m8t__cauchy,3,0.05,False
natural__harsh,fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,2123,10.535220268385867,17.08394667340141,-6.548726405015543,-8.336450267595998,-5.097250309181233,True,9.999000099990002e-05,natural__fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,3,0.05,True
natural__phone,grouped_physical_receivers__direct,1858,31.209461896620997,61.15157615761853,-29.94211426099753,-34.12428641904443,-25.984390740749625,True,9.999000099990002e-05,natural__grouped_physical_receivers__direct,2,0.016666666666666666,True
natural__phone,grouped_physical_receivers__cauchy,1858,31.209461896620997,38.34649903240561,-7.137037135784613,-9.160895207544083,-5.217233079344197,True,9.999000099990002e-05,natural__grouped_physical_receivers__cauchy,3,0.025,True
natural__phone,grouped_physical_receivers__switch_irls,1858,31.209461896620997,29.845267146833358,1.3641947497876394,0.3198514654661929,2.4859839635774383,False,0.9938006199380062,natural__grouped_physical_receivers__switch_irls,4,0.05,False
natural__phone,grouped_physical_receivers__dcs_irls,1858,31.209461896620997,33.20090428606058,-1.9914423894395803,-3.2012312045697118,-0.7271477389489441,True,0.0010998900109989002,natural__grouped_physical_receivers__dcs_irls,3,0.025,True
natural__phone,hierarchical_consensus__cauchy,1858,31.209461896620997,34.017924967569655,-2.808463070948658,-4.307426494765493,-1.280838133155991,True,0.00029997000299970003,natural__hierarchical_consensus__cauchy,2,0.016666666666666666,True
natural__phone,fixed_pair_consensus__google_pixel4__huawei_p40pro__cauchy,1858,31.209461896620997,38.75191881012352,-7.542456913502523,-10.024738883789373,-5.258485193044348,True,9.999000099990002e-05,natural__fixed_pair_consensus__google_pixel4__huawei_p40pro__cauchy,1,0.05,True
natural__phone,fixed_pair_consensus__google_pixel4__xiaomi_mi8__cauchy,1858,31.209461896620997,44.157898685861205,-12.948436789240208,-17.087757459863134,-9.021867054249388,True,9.999000099990002e-05,natural__fixed_pair_consensus__google_pixel4__xiaomi_mi8__cauchy,1,0.05,True
natural__phone,fixed_pair_consensus__huawei_p40pro__xiaomi_mi8__cauchy,1858,31.209461896620997,32.96827457517623,-1.758812678555234,-3.4341046890557223,-0.08484057224440311,True,0.019998000199980003,natural__fixed_pair_consensus__huawei_p40pro__xiaomi_mi8__cauchy,1,0.05,True
fault__distributed_novatel_step_f9p_ramp,grouped_physical_receivers__direct,515,22.786227117558045,24.58111078028121,-1.7948836627231657,-2.819718314752627,-0.23379066780877064,True,0.010798920107989201,fault__grouped_physical_receivers__direct,5,0.016666666666666666,True
fault__distributed_novatel_step_f9p_ramp,grouped_physical_receivers__cauchy,515,22.786227117558045,23.78739563738835,-1.0011685198303049,-6.6541155332912085,3.5614785249675633,False,0.28247175282471754,fault__grouped_physical_receivers__cauchy,6,0.025,False
fault__distributed_novatel_step_f9p_ramp,grouped_physical_receivers__switch_irls,515,22.786227117558045,32.541689665965826,-9.755462548407781,-13.648617081350931,-4.780560082713492,True,9.999000099990002e-05,fault__grouped_physical_receivers__switch_irls,1,0.0071428571428571435,True
fault__distributed_novatel_step_f9p_ramp,grouped_physical_receivers__dcs_irls,515,22.786227117558045,36.06256232139665,-13.276335203838602,-18.623384670169184,-7.139510739000828,True,9.999000099990002e-05,fault__grouped_physical_receivers__dcs_irls,1,0.0071428571428571435,True
fault__distributed_novatel_step_f9p_ramp,hierarchical_consensus__cauchy,515,22.786227117558045,23.465833260117353,-0.6796061425593081,-5.22466125180819,2.902577656016248,False,0.2926707329267073,fault__hierarchical_consensus__cauchy,6,0.025,False
fault__distributed_novatel_step_f9p_ramp,fixed_pair_consensus__novatel__ublox_f9p__cauchy,515,22.786227117558045,22.786227117558045,0.0,0.0,0.0,False,1.0,fault__fixed_pair_consensus__novatel__ublox_f9p__cauchy,5,0.016666666666666666,False
fault__distributed_novatel_step_f9p_ramp,fixed_pair_consensus__novatel__ublox_m8t__cauchy,515,22.786227117558045,20.90773242080773,1.878494696750316,-1.532367782584789,4.659830125265357,False,0.804019598040196,fault__fixed_pair_consensus__novatel__ublox_m8t__cauchy,7,0.05,False
fault__distributed_novatel_step_f9p_ramp,fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,515,22.786227117558045,32.244201160957196,-9.457974043399151,-16.974748225334224,-2.7459879187530523,True,0.0027997200279972004,fault__fixed_pair_consensus__ublox_f9p__ublox_m8t__cauchy,6,0.025,True
fault__novatel_ramp,grouped_physical_receivers__direct,515,13.004203413347222,13.560851302346215,-0.5566478889989934,-3.458734949054481,1.6359165275402894,False,0.3210678932106789,fault__grouped_physical_receivers__direct,6,0.025,False
fault__novatel_ramp,grouped_physical_receivers__cauchy,515,13.004203413347222,18.526554967522827,-5.522351554175605,-8.31342242672768,-2.9796479056891783,True,9.999000099990002e-05,fault__grouped_physical_receivers__cauchy,1,0.0071428571428571435,True
fault__novatel_ramp,grouped_physical_receivers__switch_irls,515,13.004203413347222,13.876301083664513,-0.8720976703172916,-1.8344736846277965,-0.1278581450565102,True,0.011698830116988301,fault__grouped_physical_receivers__switch_irls,4,0.0125,True
fault__novatel_ramp,grouped_physical_receivers__dcs_irls,515,13.004203413347222,21.031296508650964,-8.027093095303742,-11.712830332997619,-4.547752653444363,True,9.999000099990002e-05,fault__grouped_physical_receivers__dcs_irls,2,0.008333333333333333,True
fault__novatel_ramp,hierarchical_consensus__cauchy,515,13.004203413347222,20.411255088823122,-7.4070516754759,-10.345140132530911,-4.751228290714868,True,9.999000099990002e-05,fault__hierarchical_consensus__cauchy,1,0.0071428571428571435,True
fault__novatel_ramp,fixed_pair_consensus__novatel__ublox_f9p__cauchy,515,13.004203413347222,18.2364575936745,-5.2322541803272795,-7.588319848199735,-2.69824009504987,True,9.999000099990002e-05,fault__fixed_pair_consensus__novatel__ublox_f9p__cauchy,1,0.0071428571428571435,True
fault__novatel_ramp,fixed_pair_consensus__novatel__ublox_m8t__cauchy,515,13.004203413347222,27.389951790071926,-14.385748376724704,-18.025958002837278,-10.477722043892015,True,9.999000099990002e-05,fault__fixed_pair_consensus__novatel__ublox_m8t__cauchy,1,0.0071428571428571435,True
