case,case_group,proposed_envelope_rmse_m,same_subset_cu_rmse_m,proposed_minus_cu_m
hk,natural,12.00655529980053,10.157066138133734,1.8494891616667957
deep,natural,9.95532733927351,9.975165261235247,-0.019837921961737948
harsh,natural,10.52608254512894,11.299489039006781,-0.7734064938778413
phone,natural,31.209461896620997,31.39933613095867,-0.18987423433767248
novatel_step,controlled_fault,16.879898584363822,16.302290906532342,0.5776076778314803
novatel_ramp,controlled_fault,13.004203413347222,12.926099996530693,0.07810341681652844
ublox_f9p_step,controlled_fault,11.030875675545126,11.130835295519148,-0.09995961997402247
ublox_f9p_ramp,controlled_fault,11.965798152853216,11.930091744598897,0.03570640825431859
ublox_m8t_step,controlled_fault,12.006555299800494,10.157066138133734,1.8494891616667601
ublox_m8t_ramp,controlled_fault,12.006555299800494,10.157066138133734,1.8494891616667601
distributed_novatel_step_f9p_ramp,controlled_fault,22.786227117558045,22.39520565144894,0.3910214661091054
