case,case_group,evaluation_epoch_count,bootstrap_trials,block_epochs,envelope_minus_cu_rmse_m,ci95_low_m,ci95_high_m,interval_below_zero,interval_above_zero
hk,natural,515,10000,30,1.8494891616667957,1.169121379382312,2.4833296098988633,False,True
deep,natural,1474,10000,30,-0.019837921961737948,-0.1760289896078852,0.16642305131893184,False,False
harsh,natural,2123,10000,30,-0.7734064938778413,-1.2082438971765046,-0.12731104425213022,True,False
phone,natural,1858,10000,30,-0.18987423433767248,-0.2687482889735214,-0.11231478080723083,True,False
novatel_step,controlled_fault,515,10000,30,0.5776076778314803,0.3322841648767271,0.8219523842255315,False,True
novatel_ramp,controlled_fault,515,10000,30,0.07810341681652844,-0.21648718931741434,0.26737618621838244,False,False
ublox_f9p_step,controlled_fault,515,10000,30,-0.09995961997402247,-0.7308755395292619,0.3534119752579643,False,False
ublox_f9p_ramp,controlled_fault,515,10000,30,0.03570640825431859,-0.08524129002945759,0.15916472331615528,False,False
ublox_m8t_step,controlled_fault,515,10000,30,1.8494891616667601,1.1479809565851602,2.479515282447018,False,True
ublox_m8t_ramp,controlled_fault,515,10000,30,1.8494891616667601,1.183475938230954,2.47662156679423,False,True
distributed_novatel_step_f9p_ramp,controlled_fault,515,10000,30,0.3910214661091054,0.162075790535825,0.6642344668607296,False,True
